INFO     | 2019-06-29 11:56:32,030 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-06-29 11:56:32,041 | config     | Setting 'alignment' to 'Dryophthorinae.phy'
INFO     | 2019-06-29 11:56:32,042 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-06-29 11:56:32,043 | parser     | You set 'models' to: mrbayes
INFO     | 2019-06-29 11:56:32,279 | model_load | This analysis will use the following 24 models of molecular evolution
INFO     | 2019-06-29 11:56:32,279 | model_load | JC, K80, SYM, F81, HKY, GTR, JC+G, K80+G, SYM+G, F81+G, HKY+G, GTR+G, JC+I, K80+I, SYM+I, F81+I, HKY+I, GTR+I, JC+I+G, K80+I+G, SYM+I+G, F81+I+G, HKY+I+G, GTR+I+G
INFO     | 2019-06-29 11:56:32,280 | config     | Setting 'model_selection' to 'bic'
INFO     | 2019-06-29 11:56:32,351 | config     | Setting 'search' to 'greedy'
INFO     | 2019-06-29 11:56:32,352 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-06-29 11:56:32,352 | config     | Looking for alignment file './Dryophthorinae.phy'...
INFO     | 2019-06-29 11:56:32,376 | threadpool | Using 4 cpus
INFO     | 2019-06-29 11:56:32,376 | analysis   | Beginning Analysis
WARNING  | 2019-06-29 11:56:32,376 | analysis   | Deleting all previous workings in './analysis'
INFO     | 2019-06-29 11:56:32,451 | alignment  | Reading alignment file './Dryophthorinae.phy'
INFO     | 2019-06-29 11:56:32,553 | analysis   | Starting tree will be estimated from the data.
INFO     | 2019-06-29 11:56:32,554 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2019-06-29 11:56:32,555 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2019-06-29 11:56:50,398 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2019-06-29 11:56:59,380 | raxml      | ML topology estimation finished
INFO     | 2019-06-29 11:56:59,382 | analysis_m | Performing Greedy Analysis
INFO     | 2019-06-29 11:56:59,383 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2019-06-29 11:57:56,318 | progress   |       Finished subset 1/13, 7.69 percent done
INFO     | 2019-06-29 11:58:36,951 | progress   |       Finished subset 2/13, 15.38 percent done
INFO     | 2019-06-29 11:59:05,441 | progress   |       Finished subset 3/13, 23.08 percent done
INFO     | 2019-06-29 11:59:24,107 | progress   |       Finished subset 4/13, 30.77 percent done
INFO     | 2019-06-29 11:59:42,842 | progress   |       Finished subset 5/13, 38.46 percent done
INFO     | 2019-06-29 12:00:11,359 | progress   |       Finished subset 6/13, 46.15 percent done
